Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Frecuencia;Total
Ambos sexos;Total;País Vasco;3 o 4 días a la semana;19,94
Ambos sexos;Total;País Vasco;5 o 6 días a la semana;8,46
Ambos sexos;Total;País Vasco;7 días a la semana;11,84
Ambos sexos;Total;Rioja (La);TOTAL;100,00
Ambos sexos;Total;Rioja (La);Ninguno;46,86
Ambos sexos;Total;Rioja (La);1 o 2 días a la semana;12,28
Ambos sexos;Total;Rioja (La);3 o 4 días a la semana;19,39
Ambos sexos;Total;Rioja (La);5 o 6 días a la semana;7,99
Ambos sexos;Total;Rioja (La);7 días a la semana;13,48
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Ninguno;65,03
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);1 o 2 días a la semana;6,94
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);3 o 4 días a la semana;15,24
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);5 o 6 días a la semana;11,78
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);7 días a la semana;1,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Ninguno;50,16
Ambos sexos;Total;Melilla (Ciudad Autónoma de);1 o 2 días a la semana;9,74
Ambos sexos;Total;Melilla (Ciudad Autónoma de);3 o 4 días a la semana;23,21
Ambos sexos;Total;Melilla (Ciudad Autónoma de);5 o 6 días a la semana;16,26
Ambos sexos;Total;Melilla (Ciudad Autónoma de);7 días a la semana;0,64
Hombres;Total;;TOTAL;100,00
Hombres;Total;;Ninguno;46,46
Hombres;Total;;1 o 2 días a la semana;13,46
Hombres;Total;;3 o 4 días a la semana;19,93
Hombres;Total;;5 o 6 días a la semana;11,76
Hombres;Total;;7 días a la semana;8,39
Hombres;Total;Andalucía;TOTAL;100,00
Hombres;Total;Andalucía;Ninguno;46,81
Hombres;Total;Andalucía;1 o 2 días a la semana;13,50
Hombres;Total;Andalucía;3 o 4 días a la semana;19,46
Hombres;Total;Andalucía;5 o 6 días a la semana;12,71
Hombres;Total;Andalucía;7 días a la semana;7,52
Hombres;Total;Aragón;TOTAL;100,00
Hombres;Total;Aragón;Ninguno;54,62
Hombres;Total;Aragón;1 o 2 días a la semana;14,99
Hombres;Total;Aragón;3 o 4 días a la semana;15,96
Hombres;Total;Aragón;5 o 6 días a la semana;7,49
Hombres;Total;Aragón;7 días a la semana;6,94
Hombres;Total;Asturias (Principado de);TOTAL;100,00
