Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Consumo de bebidas alcohólicas;Total
Ambos sexos;Total;;TOTAL;100,00
Ambos sexos;Total;;Sí ha consumido;65,49
Ambos sexos;Total;;No ha consumido;34,51
Ambos sexos;Total;Andalucía;TOTAL;100,00
Ambos sexos;Total;Andalucía;Sí ha consumido;53,31
Ambos sexos;Total;Andalucía;No ha consumido;46,69
Ambos sexos;Total;Aragón;TOTAL;100,00
Ambos sexos;Total;Aragón;Sí ha consumido;59,51
Ambos sexos;Total;Aragón;No ha consumido;40,49
Ambos sexos;Total;Asturias (Principado de);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Sí ha consumido;73,15
Ambos sexos;Total;Asturias (Principado de);No ha consumido;26,85
Ambos sexos;Total;Balears (Illes);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Sí ha consumido;61,82
Ambos sexos;Total;Balears (Illes);No ha consumido;38,18
Ambos sexos;Total;Canarias;TOTAL;100,00
Ambos sexos;Total;Canarias;Sí ha consumido;55,73
Ambos sexos;Total;Canarias;No ha consumido;44,27
Ambos sexos;Total;Cantabria;TOTAL;100,00
Ambos sexos;Total;Cantabria;Sí ha consumido;73,30
Ambos sexos;Total;Cantabria;No ha consumido;26,70
Ambos sexos;Total;Castilla y León;TOTAL;100,00
Ambos sexos;Total;Castilla y León;Sí ha consumido;71,72
Ambos sexos;Total;Castilla y León;No ha consumido;28,28
Ambos sexos;Total;Castilla-La Mancha;TOTAL;100,00
Ambos sexos;Total;Castilla-La Mancha;Sí ha consumido;61,33
Ambos sexos;Total;Castilla-La Mancha;No ha consumido;38,67
Ambos sexos;Total;Cataluña;TOTAL;100,00
Ambos sexos;Total;Cataluña;Sí ha consumido;69,76
Ambos sexos;Total;Cataluña;No ha consumido;30,24
Ambos sexos;Total;Comunitat Valenciana;TOTAL;100,00
Ambos sexos;Total;Comunitat Valenciana;Sí ha consumido;71,88
Ambos sexos;Total;Comunitat Valenciana;No ha consumido;28,12
Ambos sexos;Total;Extremadura;TOTAL;100,00
Ambos sexos;Total;Extremadura;Sí ha consumido;63,45
Ambos sexos;Total;Extremadura;No ha consumido;36,55
Ambos sexos;Total;Galicia;TOTAL;100,00
Ambos sexos;Total;Galicia;Sí ha consumido;62,81
Ambos sexos;Total;Galicia;No ha consumido;37,19
Ambos sexos;Total;Madrid (Comunidad de);TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Sí ha consumido;70,22
Ambos sexos;Total;Madrid (Comunidad de);No ha consumido;29,78
Ambos sexos;Total;Murcia (Región de);TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Sí ha consumido;64,07
Ambos sexos;Total;Murcia (Región de);No ha consumido;35,93
Ambos sexos;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Sí ha consumido;77,68
Ambos sexos;Total;Navarra (Comunidad Foral de);No ha consumido;22,32
Ambos sexos;Total;País Vasco;TOTAL;100,00
Ambos sexos;Total;País Vasco;Sí ha consumido;77,94
Ambos sexos;Total;País Vasco;No ha consumido;22,06
Ambos sexos;Total;Rioja (La);TOTAL;100,00
Ambos sexos;Total;Rioja (La);Sí ha consumido;72,60
Ambos sexos;Total;Rioja (La);No ha consumido;27,40
