Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Consumo de bebidas alcohólicas;Total
Hombres;Total;País Vasco;TOTAL;100,00
Hombres;Total;País Vasco;Sí ha consumido;84,18
Hombres;Total;País Vasco;No ha consumido;15,82
Hombres;Total;Rioja (La);TOTAL;100,00
Hombres;Total;Rioja (La);Sí ha consumido;71,72
Hombres;Total;Rioja (La);No ha consumido;28,28
Hombres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Sí ha consumido;46,27
Hombres;Total;Ceuta (Ciudad Autónoma de);No ha consumido;53,73
Hombres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Sí ha consumido;47,56
Hombres;Total;Melilla (Ciudad Autónoma de);No ha consumido;52,44
Mujeres;Total;;TOTAL;100,00
Mujeres;Total;;Sí ha consumido;57,66
Mujeres;Total;;No ha consumido;42,34
Mujeres;Total;Andalucía;TOTAL;100,00
Mujeres;Total;Andalucía;Sí ha consumido;51,29
Mujeres;Total;Andalucía;No ha consumido;48,71
Mujeres;Total;Aragón;TOTAL;100,00
Mujeres;Total;Aragón;Sí ha consumido;65,57
Mujeres;Total;Aragón;No ha consumido;34,43
Mujeres;Total;Asturias (Principado de);TOTAL;100,00
Mujeres;Total;Asturias (Principado de);Sí ha consumido;62,19
Mujeres;Total;Asturias (Principado de);No ha consumido;37,81
Mujeres;Total;Balears (Illes);TOTAL;100,00
Mujeres;Total;Balears (Illes);Sí ha consumido;65,78
Mujeres;Total;Balears (Illes);No ha consumido;34,22
Mujeres;Total;Canarias;TOTAL;100,00
Mujeres;Total;Canarias;Sí ha consumido;49,35
Mujeres;Total;Canarias;No ha consumido;50,65
Mujeres;Total;Cantabria;TOTAL;100,00
Mujeres;Total;Cantabria;Sí ha consumido;67,98
Mujeres;Total;Cantabria;No ha consumido;32,02
Mujeres;Total;Castilla y León;TOTAL;100,00
Mujeres;Total;Castilla y León;Sí ha consumido;51,25
Mujeres;Total;Castilla y León;No ha consumido;48,75
Mujeres;Total;Castilla-La Mancha;TOTAL;100,00
Mujeres;Total;Castilla-La Mancha;Sí ha consumido;50,36
Mujeres;Total;Castilla-La Mancha;No ha consumido;49,64
Mujeres;Total;Cataluña;TOTAL;100,00
Mujeres;Total;Cataluña;Sí ha consumido;63,47
Mujeres;Total;Cataluña;No ha consumido;36,53
Mujeres;Total;Comunitat Valenciana;TOTAL;100,00
Mujeres;Total;Comunitat Valenciana;Sí ha consumido;63,22
Mujeres;Total;Comunitat Valenciana;No ha consumido;36,78
Mujeres;Total;Extremadura;TOTAL;100,00
Mujeres;Total;Extremadura;Sí ha consumido;49,28
Mujeres;Total;Extremadura;No ha consumido;50,72
Mujeres;Total;Galicia;TOTAL;100,00
Mujeres;Total;Galicia;Sí ha consumido;59,62
Mujeres;Total;Galicia;No ha consumido;40,38
Mujeres;Total;Madrid (Comunidad de);TOTAL;100,00
Mujeres;Total;Madrid (Comunidad de);Sí ha consumido;54,55
Mujeres;Total;Madrid (Comunidad de);No ha consumido;45,45
Mujeres;Total;Murcia (Región de);TOTAL;100,00
Mujeres;Total;Murcia (Región de);Sí ha consumido;61,60
Mujeres;Total;Murcia (Región de);No ha consumido;38,40
Mujeres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Sí ha consumido;54,67
Mujeres;Total;Navarra (Comunidad Foral de);No ha consumido;45,33
Mujeres;Total;País Vasco;TOTAL;100,00
Mujeres;Total;País Vasco;Sí ha consumido;69,55
Mujeres;Total;País Vasco;No ha consumido;30,45
Mujeres;Total;Rioja (La);TOTAL;100,00
Mujeres;Total;Rioja (La);Sí ha consumido;49,82
Mujeres;Total;Rioja (La);No ha consumido;50,18
Mujeres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Sí ha consumido;30,10
Mujeres;Total;Ceuta (Ciudad Autónoma de);No ha consumido;69,90
Mujeres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Sí ha consumido;31,09
Mujeres;Total;Melilla (Ciudad Autónoma de);No ha consumido;68,91
